# x_m, y_m, w_tr_left_m, w_tr_right_m
-6.250000000000000000e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-5.999999999999999778e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-5.749999999999999556e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-5.499999999999999334e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-5.249999999999999112e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-5.000000000000000000e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-4.749999999999998668e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-4.499999999999999556e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-4.250000000000000444e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-3.999999999999999112e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-3.750000000000000000e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-3.499999999999998668e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-3.249999999999999556e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-2.999999999999998224e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-2.749999999999999112e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-2.500000000000000000e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-2.249999999999998668e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.999999999999999556e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.749999999999998224e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.499999999999999112e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.250000000000000000e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-9.999999999999986677e-02,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-7.499999999999995559e-02,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-4.999999999999982236e-02,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-2.499999999999991118e-02,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
0.000000000000000000e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.500000000000013323e-02,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
5.000000000000004441e-02,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
7.500000000000017764e-02,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.000000000000000888e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.250000000000000000e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.500000000000001332e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.750000000000000444e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.000000000000001776e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.250000000000000888e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
